id,nume,diacritice,judet,auto,zip,populatie,lat,lng
228,Hodivoaia,Hodivoaia,Giurgiu,GR,87186,434,439.015.226,257.934.613
229,Vieru,Vieru,Giurgiu,GR,87187,720,438.877.956,258.050.427
230,Rasuceni,Răsuceni,Giurgiu,GR,87190,1404,440.903.888,256.711.532
231,Carapancea,Carapancea,Giurgiu,GR,87191,99,441.008.559,2.571.384
232,Cucuruzu,Cucuruzu,Giurgiu,GR,87192,1031,44.076.906,257.272.144
233,Satu Nou,Satu Nou,Giurgiu,GR,87193,118,440.615.596,256.338.692
234,Roata de Jos,Roata de Jos,Giurgiu,GR,87195,2476,444.065.433,255.359.618
235,Cartojani,Cartojani,Giurgiu,GR,87196,3724,44.432.022,254.909.035
236,Roata Mica,Roata Mică,Giurgiu,GR,87197,545,444.006.702,255.554.069
237,Sadina,Sadina,Giurgiu,GR,87198,1551,444.199.086,255.159.621
238,Schitu,Schitu,Giurgiu,GR,87200,293,4.413.394,258.246.026
239,Bila,Bila,Giurgiu,GR,87201,512,441.604.294,258.464.138
240,Camineasca,Cămineasca,Giurgiu,GR,87202,608,44.166.472,258.214.416
241,Vlasin,Vlaşin,Giurgiu,GR,87203,572,440.992.085,25.862.156
242,Singureni,Singureni,Giurgiu,GR,87205,1546,442.229.167,25.941.849
243,Cranguri,Crânguri,Giurgiu,GR,87206,852,442.049.564,259.804.287
244,Stejaru,Stejaru,Giurgiu,GR,87207,793,442.509.444,259.323.789
245,Slobozia,Slobozia,Giurgiu,GR,87210,2377,438.583.495,259.065.998
246,Stanesti,Stăneşti,Giurgiu,GR,87215,1433,439.387.027,25.865.863
247,Balanu,Bălanu,Giurgiu,GR,87216,564,43.919.856,259.185.016
248,Ghizdaru,Ghizdaru,Giurgiu,GR,87217,563,439.308.597,258.831.724
249,Oncesti,Onceşti,Giurgiu,GR,87218,440,439.577.898,258.824.729
250,Stoenesti,Stoeneşti,Giurgiu,GR,87220,1805,441.376.789,258.898.644
251,Ianculesti,Ianculeşti,Giurgiu,GR,87221,267,441.401.398,259.250.338
252,Mirau,Mirău,Giurgiu,GR,87222,177,441.409.954,258.661.048
253,Toporu,Toporu,Giurgiu,GR,87225,1491,440.165.934,256.538.271
254,Tomulesti,Tomuleşti,Giurgiu,GR,87226,849,439.792.561,256.370.731
